element,link,executor,core,partition,sleeping_guard,sleeping_instantiate,sleeping_apply,total_time,time_tuples,time_instantiate,time_extract,time_broadcast,time_apply
600,880,4,4,64,2000,2000,2000,1719541.712825,171.359046,1258330.486208,0.702361,93.29424,460945.87097
600,880,2,4,32,2000,2000,2000,3219995.786564,175.082381,2308905.681867,0.595274,89.388267,910825.038775
600,880,4,4,64,500,500,500,434235.651176,178.545769,318029.330557,0.697176,97.80006,115929.277614
600,880,2,4,32,250,250,250,407615.190638,173.562153,292816.434383,0.63407,95.243121,114529.316911
600,880,4,4,64,1000,1000,1000,862157.6293890001,172.42764,630939.737356,0.51205,96.139238,230948.813105
600,880,8,4,128,1000,1000,1000,467706.53862699994,174.100172,351206.48082,0.664464,97.168601,116228.12457
600,880,8,4,128,500,500,500,236459.05014600002,174.907626,177544.041126,0.581268,97.757978,58641.762148
600,880,8,4,128,2000,2000,2000,928557.541699,171.657987,697062.562154,0.643414,104.132604,231218.54554
600,880,8,4,128,250,250,250,121018.77754299999,171.8853,90778.253778,0.633566,100.129246,29967.875653
600,880,4,4,64,250,250,250,219421.07147100003,192.937428,160676.965669,0.716553,102.014724,58448.437097
600,880,2,4,32,1000,1000,1000,1612824.0349110002,176.051539,1156703.244324,0.642618,87.98802,455856.10841
600,880,2,4,32,500,500,500,809797.278943,175.637421,581125.268538,0.608793,101.880935,228393.883256
600,880,4,4,64,2000,2000,2000,1718875.808022,173.557644,1257219.363657,0.648868,97.766545,461384.471308
600,880,2,4,32,2000,2000,2000,3219979.369564,172.270751,2308769.267562,0.595293,89.625068,910947.61089
600,880,4,4,64,500,500,500,434283.19203599996,173.767703,317783.320524,0.984956,100.989455,116224.129398
600,880,2,4,32,250,250,250,407200.56353299995,177.263827,292337.322698,0.660315,95.870893,114589.4458
600,880,4,4,64,1000,1000,1000,862483.606388,164.581158,631009.300754,0.7071,98.464113,231210.553263
600,880,8,4,128,1000,1000,1000,467378.67177499994,172.141754,350633.13466,0.633491,101.264691,116471.497179
600,880,8,4,128,500,500,500,237676.45773000002,176.25507,178693.784576,0.545252,102.165423,58703.707409
600,880,8,4,128,2000,2000,2000,928611.6877889999,173.389062,697119.909763,0.507001,95.101806,231222.780157
600,880,8,4,128,250,250,250,121270.128154,179.52219,91066.553544,0.560512,96.070428,29927.42148
600,880,4,4,64,250,250,250,219927.21959499997,176.718034,161246.335906,0.675348,105.051919,58398.438388
600,880,2,4,32,1000,1000,1000,1612885.643808,171.932075,1156828.997834,0.595498,90.089723,455794.028678
600,880,2,4,32,500,500,500,809566.8796940001,172.577734,580993.499423,0.598021,92.056748,228308.147768
600,880,4,4,64,2000,2000,2000,1718005.721773,174.248596,1256774.17998,0.624045,102.14739,460954.521762
600,880,2,4,32,2000,2000,2000,3220298.595831,177.493965,2309203.684818,0.591867,87.931182,910828.893999
600,880,4,4,64,500,500,500,433797.06591700006,171.271193,317621.677065,0.697532,101.221977,115902.19815
600,880,2,4,32,250,250,250,407469.553996,175.399843,292713.514614,0.637892,89.677697,114490.32395
600,880,4,4,64,1000,1000,1000,862281.0942700001,175.51453,631033.315942,0.665446,98.502288,230973.096064
600,880,8,4,128,1000,1000,1000,467938.19375300006,172.627816,351023.04606,0.676866,102.669835,116639.173176
600,880,8,4,128,500,500,500,237287.25618899998,171.730359,178064.627174,0.896154,125.809777,58924.192725
600,880,8,4,128,2000,2000,2000,928492.2727000001,174.690917,696713.334672,0.689453,101.541483,231502.016175
600,880,8,4,128,250,250,250,121389.39178299998,171.205456,90689.120876,0.651116,105.228389,30423.185946
600,880,4,4,64,250,250,250,220193.67971400003,177.983178,161227.944548,0.68963,102.660016,58684.402342
600,880,2,4,32,1000,1000,1000,1613085.1755430002,172.502475,1156926.503425,0.598832,95.127093,455890.443718
600,880,2,4,32,500,500,500,809399.651474,171.040708,580650.130466,0.640433,93.005225,228484.834642
600,880,4,4,64,2000,2000,2000,1718975.34501,172.598615,1257537.811051,0.71809,102.723071,461161.494183
600,880,2,4,32,2000,2000,2000,3219949.97788,172.732664,2308795.936358,0.599586,95.169953,910885.539319
600,880,4,4,64,500,500,500,433941.67289300007,174.653997,317760.675431,0.726481,100.6853,115904.931684
600,880,2,4,32,250,250,250,407664.263681,173.195589,292825.40011,0.583351,93.367095,114571.717536
600,880,4,4,64,1000,1000,1000,862177.857178,170.77229,630941.155006,0.75398,102.110265,230963.065637
600,880,8,4,128,1000,1000,1000,467255.078624,176.248632,350638.923984,0.661352,99.221899,116340.022757
600,880,8,4,128,500,500,500,236714.314821,172.421071,177780.052636,0.643946,95.569802,58665.627366
600,880,8,4,128,2000,2000,2000,928854.6082000001,175.108472,697357.408897,0.571158,97.836537,231223.683136
600,880,8,4,128,250,250,250,121552.94617,173.960085,91198.007786,0.68683,104.347472,30075.943997
600,880,4,4,64,250,250,250,220119.60827199998,173.665839,161400.678857,0.652397,99.496715,58445.114464
600,880,2,4,32,1000,1000,1000,1612858.3592230002,172.284339,1156767.394046,0.600552,90.01545,455828.064836
600,880,2,4,32,500,500,500,809410.3885700002,175.744072,580870.73947,0.583451,89.786896,228273.534681
600,880,4,4,64,2000,2000,2000,1718797.7710540004,172.565844,1257350.985428,0.679198,99.532086,461174.008498
600,880,2,4,32,2000,2000,2000,3220288.0023379996,172.697386,2308982.502978,0.644268,128.357004,911003.800702
600,880,4,4,64,500,500,500,434494.309289,169.970806,318005.192164,0.684175,99.650854,116218.81129
600,880,2,4,32,250,250,250,407797.432149,174.122316,292919.244969,0.652186,96.425824,114606.986854
600,880,4,4,64,1000,1000,1000,861876.719928,175.495403,630399.542944,0.669905,92.970981,231208.040695
600,880,8,4,128,1000,1000,1000,467525.263487,171.09935,350654.309682,0.691544,101.53703,116597.625881
600,880,8,4,128,500,500,500,236857.191385,175.176197,177584.099014,0.59945,97.928756,58999.387968
600,880,8,4,128,2000,2000,2000,929252.30212,175.409834,697430.157757,0.732734,98.657051,231547.344744
600,880,8,4,128,250,250,250,121396.321249,175.049562,90980.923,0.579408,120.053,30119.716279
600,880,4,4,64,250,250,250,220052.498685,171.845513,161344.865373,0.608826,103.532823,58431.64615
600,880,2,4,32,1000,1000,1000,1612596.06873,170.128833,1156570.228262,0.693564,100.93868,455754.079391
600,880,2,4,32,500,500,500,809926.270239,174.737663,581335.065858,0.952133,121.468101,228294.046484
600,880,4,4,64,2000,2000,2000,1718430.064863,173.958176,1257187.773043,0.703808,97.171202,460970.458634
600,880,2,4,32,2000,2000,2000,3220604.7156700003,170.227386,2309517.190208,0.557381,89.871207,910826.869488
600,880,4,4,64,500,500,500,433996.263558,174.397956,317765.994247,0.666796,98.324575,115956.879984
600,880,2,4,32,250,250,250,407618.090396,173.083981,292792.845584,0.616633,95.593147,114555.951051
600,880,4,4,64,1000,1000,1000,861743.3546509999,173.749174,630565.363496,0.741143,99.564413,230903.936425
600,880,8,4,128,1000,1000,1000,467274.12019499997,171.052805,350792.930886,0.737694,99.972877,116209.425933
600,880,8,4,128,500,500,500,236586.816265,177.800715,177638.747661,0.649001,101.567414,58668.051474
